,fecha,nombre,provincia,altitud,tmed,prec,tmin,tmax,velmedia,racha
774,2022-01-04,SANTA ELENA,JAEN,770,"9,0","4,2","5,2","12,8","3,1","15,6"
776,2022-01-04,ARROYO DEL OJANCO,JAEN,580,"10,6","2,9","5,0","16,3",,
785,2022-01-04,GRANADA BASE AÉREA,GRANADA,687,"9,5","0,2","1,6","17,4","2,8","17,8"
788,2022-01-04,"MOGUER, EL ARENOSILLO",HUELVA,41,"11,8","0,1","7,1","16,4","3,1","11,1"
794,2022-01-04,VEJER DE LA FRONTERA,CADIZ,186,"13,6","0,2","10,6","16,6","4,2","13,3"
798,2022-01-04,DOÑA MENCÍA,CORDOBA,650,"10,0","0,7","5,8","14,1","4,2","13,9"
803,2022-01-04,CÓRDOBA AEROPUERTO,CORDOBA,90,"8,5","0,7","3,9","13,1","1,9","12,5"
805,2022-01-04,ÉCIJA,SEVILLA,130,"12,1","2,4","6,7","17,5","2,5","13,1"
808,2022-01-04,ESTEPONA,MALAGA,19,"14,5","0,2","9,5","19,5","4,2","15,6"
814,2022-01-04,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"14,3","0,2","8,5","20,1","3,6","11,4"
818,2022-01-04,MORÓN DE LA FRONTERA,SEVILLA,87,"13,2","1,2","7,4","18,9","3,1","10,0"
819,2022-01-04,BAZA,GRANADA,785,"8,2",,"-1,5","18,0","3,1","16,9"
820,2022-01-04,SAN FERNANDO,CADIZ,28,"14,4","0,6","10,2","18,5","3,9","12,2"
836,2022-01-04,HINOJOSA DEL DUQUE,CORDOBA,551,"10,2","1,9","5,3","15,2","5,0","12,8"
842,2022-01-04,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"8,8","3,0","4,4","13,2","4,4","13,1"
849,2022-01-04,CAZALLA DE LA SIERRA,SEVILLA,550,"7,8","1,5","4,7","11,0","3,1","13,3"
853,2022-01-04,JAÉN,JAEN,580,"10,8","2,8","7,3","14,3","4,7","15,8"
865,2022-01-04,SEVILLA AEROPUERTO,SEVILLA,34,"12,6",Ip,"9,8","15,3","2,2","13,3"
