,fecha,nombre,provincia,altitud,tmed,prec,tmin,tmax,velmedia,racha
45868,2022-07-10,ADRA,ALMERIA,8,"26,8","0,0","23,7","30,0","1,1","3,9"
45872,2022-07-10,SANTA ELENA,JAEN,770,"31,9","0,0","23,7","40,1",,
45874,2022-07-10,ARROYO DEL OJANCO,JAEN,580,"30,6","0,0","22,0","39,2",,
45882,2022-07-10,GRANADA BASE AÉREA,GRANADA,687,"27,0","0,0","18,1","36,0","4,2","12,2"
45885,2022-07-10,"MOGUER, EL ARENOSILLO",HUELVA,41,"26,5","0,0","21,0","32,0","2,2","5,3"
45891,2022-07-10,VEJER DE LA FRONTERA,CADIZ,186,"27,0","0,0","21,6","32,5","5,3","14,4"
45895,2022-07-10,DOÑA MENCÍA,CORDOBA,650,"30,2","0,0","22,3","38,1","3,3","10,0"
45900,2022-07-10,CÓRDOBA AEROPUERTO,CORDOBA,90,"31,3","0,0","20,5","42,1","3,1","10,3"
45902,2022-07-10,ÉCIJA,SEVILLA,130,"31,4","0,0","21,8","40,9","3,1","8,9"
45905,2022-07-10,ESTEPONA,MALAGA,19,"25,2","0,0","22,0","28,4","3,6","7,8"
45911,2022-07-10,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"29,0","0,0","18,3","39,6","2,5","9,7"
45915,2022-07-10,MORÓN DE LA FRONTERA,SEVILLA,87,"31,4","0,0","21,0","41,8","2,5","8,3"
45916,2022-07-10,BAZA,GRANADA,785,"26,0","0,0","15,2","36,7","3,6","10,8"
45917,2022-07-10,SAN FERNANDO,CADIZ,28,"32,0","0,0","25,9","38,1","5,6","13,9"
45933,2022-07-10,HINOJOSA DEL DUQUE,CORDOBA,551,"30,6","0,0","20,8","40,4","0,6","8,9"
45940,2022-07-10,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"30,0","0,0","21,7","38,3","2,5","8,9"
45947,2022-07-10,CAZALLA DE LA SIERRA,SEVILLA,550,"28,6","0,0","18,3","38,8","1,1","8,3"
45951,2022-07-10,JAÉN,JAEN,580,"31,0","0,0","23,1","38,9","2,8","10,6"
45963,2022-07-10,SEVILLA AEROPUERTO,SEVILLA,34,"31,8","0,0","22,6","41,1","3,3","10,8"
45964,2022-07-10,TORROX,MALAGA,3,"24,7","0,0","21,5","27,9","1,1","4,2"
45967,2022-07-10,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"24,5","0,0","20,7","28,3","2,5","8,6"
45968,2022-07-10,GRANADA AEROPUERTO,GRANADA,560,"28,6","0,0","18,3","39,0","2,5","12,5"
45971,2022-07-10,FUENGIROLA,MALAGA,8,"25,9","0,0","22,4","29,4","0,8","4,2"
45996,2022-07-10,ABLA,ALMERIA,869,"24,8","0,0","18,5","31,1","2,2","9,4"
45999,2022-07-10,ALAJAR,HUELVA,572,"29,7","0,0","19,6","39,8","2,8","10,0"
46006,2022-07-10,LOJA,GRANADA,760,"30,5","0,0","22,1","38,9","1,4","8,3"
46007,2022-07-10,MÁLAGA AEROPUERTO,MALAGA,7,"24,9","0,0","21,2","28,6","4,2","8,9"
46022,2022-07-10,GRAZALEMA,CADIZ,913,"26,3","0,0","19,3","33,3","1,7","9,7"
46024,2022-07-10,VILLARRODRIGO,JAEN,862,"30,0","0,0","21,8","38,2","2,8","12,2"
46027,2022-07-10,ANDÚJAR,JAEN,202,"31,0","0,0","20,5","41,4","1,1","8,9"
46029,2022-07-10,CÁDIZ,CADIZ,2,"29,4","0,0","25,6","33,1","8,3","16,4"
46040,2022-07-10,ALMERÍA AEROPUERTO,ALMERIA,21,"26,6","0,0","21,8","31,3","3,1","8,9"
46044,2022-07-10,"HUELVA, RONDA ESTE",HUELVA,18,"29,2","0,0","21,1","37,4","3,1","8,6"
46047,2022-07-10,"ROTA, BASE NAVAL",CADIZ,21,"28,9","0,0","20,0","37,8","5,8","12,2"
46049,2022-07-10,AYAMONTE,HUELVA,3,"28,0","0,0","20,7","35,4","1,9","5,8"
46058,2022-07-10,TARIFA,CADIZ,32,"22,8","0,0","20,4","25,1",,
46065,2022-07-10,LA RODA DE ANDALUCÍA,SEVILLA,410,"28,2","0,0","19,7","36,6","4,4","11,7"
46069,2022-07-11,ANTEQUERA,MALAGA,408,"27,8","0,0","23,3","32,4","4,4","16,7"
46081,2022-07-11,ROQUETAS DE MAR,ALMERIA,3,"25,2","0,0","19,3","31,0","5,0","13,3"
46087,2022-07-11,HUÉRCAL-OVERA,ALMERIA,300,"26,8","0,0","18,4","35,3",,
46109,2022-07-11,ADRA,ALMERIA,8,"27,6","0,0","23,1","32,2","3,3","7,8"
46113,2022-07-11,SANTA ELENA,JAEN,770,"31,8","0,0","23,5","40,2",,
46115,2022-07-11,ARROYO DEL OJANCO,JAEN,580,"30,4","0,0","22,0","38,9",,
46123,2022-07-11,GRANADA BASE AÉREA,GRANADA,687,"27,2","0,0","17,9","36,6","5,0","13,3"
46126,2022-07-11,"MOGUER, EL ARENOSILLO",HUELVA,41,"25,2","0,0","18,9","31,4","2,2","9,7"
46132,2022-07-11,VEJER DE LA FRONTERA,CADIZ,186,"27,0","0,0","22,3","31,7","6,7","18,9"
46136,2022-07-11,DOÑA MENCÍA,CORDOBA,650,"31,0","0,0","23,3","38,7","2,5","11,1"
46141,2022-07-11,CÓRDOBA AEROPUERTO,CORDOBA,90,"31,9","0,0","21,3","42,5","2,8","11,4"
46143,2022-07-11,ÉCIJA,SEVILLA,130,"31,7","0,0","22,6","40,8","3,1","11,4"
46146,2022-07-11,ESTEPONA,MALAGA,19,"25,8","0,0","22,4","29,1","3,6","10,3"
46152,2022-07-11,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"29,6","0,0","19,6","39,5","3,9","12,5"
46156,2022-07-11,MORÓN DE LA FRONTERA,SEVILLA,87,"31,2","0,0","20,7","41,7","3,3","10,0"
46157,2022-07-11,BAZA,GRANADA,785,"25,0","0,0","14,3","35,8","3,6","11,9"
46158,2022-07-11,SAN FERNANDO,CADIZ,28,"31,0","0,0","25,0","37,0","6,1","18,3"
46174,2022-07-11,HINOJOSA DEL DUQUE,CORDOBA,551,"31,8","0,0","23,2","40,5","1,4","8,1"
46180,2022-07-11,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"30,0","0,0","21,7","38,2","2,2","10,8"
46187,2022-07-11,CAZALLA DE LA SIERRA,SEVILLA,550,"28,4","0,0","18,2","38,5","2,2","8,9"
46191,2022-07-11,JAÉN,JAEN,580,"31,4","0,0","23,5","39,2","2,8","11,7"
46203,2022-07-11,SEVILLA AEROPUERTO,SEVILLA,34,"32,4","0,0","22,2","42,5","5,6","13,3"
46204,2022-07-11,TORROX,MALAGA,3,"26,2","0,0","21,4","31,1","1,1","4,4"
46207,2022-07-11,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"25,9","0,0","20,8","31,0","3,1","9,7"
46208,2022-07-11,GRANADA AEROPUERTO,GRANADA,560,"28,8","0,0","18,5","39,0","3,6","14,4"
46211,2022-07-11,FUENGIROLA,MALAGA,8,"26,2","0,0","22,5","30,0","1,1","5,3"
46235,2022-07-11,ABLA,ALMERIA,869,"25,2","0,0","18,0","32,3","2,2","9,7"
46238,2022-07-11,ALAJAR,HUELVA,572,"30,6","0,0","22,3","39,0","3,3","14,2"
46245,2022-07-11,LOJA,GRANADA,760,"30,6","0,0","22,2","39,0","2,5","13,3"
46246,2022-07-11,MÁLAGA AEROPUERTO,MALAGA,7,"26,6","0,0","21,5","31,6","3,9","9,2"
46261,2022-07-11,GRAZALEMA,CADIZ,913,"28,0","0,0","23,7","32,2","3,1","14,7"
46263,2022-07-11,VILLARRODRIGO,JAEN,862,"29,6","0,0","22,9","36,3","3,3","11,7"
46266,2022-07-11,ANDÚJAR,JAEN,202,"31,9","0,0","21,2","42,6","1,7","8,3"
46268,2022-07-11,CÁDIZ,CADIZ,2,"28,7","0,0","24,9","32,5","9,4","21,7"
46279,2022-07-11,ALMERÍA AEROPUERTO,ALMERIA,21,"30,1","0,0","22,3","37,9","7,8","13,9"
46283,2022-07-11,"HUELVA, RONDA ESTE",HUELVA,18,"29,0","0,0","21,6","36,4","4,4","10,3"
46286,2022-07-11,"ROTA, BASE NAVAL",CADIZ,21,"29,4","0,0","21,3","37,5","8,3","20,6"
46288,2022-07-11,AYAMONTE,HUELVA,3,"28,2","0,0","21,1","35,2","1,9","6,1"
46297,2022-07-11,TARIFA,CADIZ,32,"23,6","0,0","21,1","26,2",,
46304,2022-07-11,LA RODA DE ANDALUCÍA,SEVILLA,410,"28,2","0,0","20,1","36,4","4,7","13,9"
46308,2022-07-12,ANTEQUERA,MALAGA,408,"27,6","0,0","23,3","31,9","2,5","13,9"
46320,2022-07-12,ROQUETAS DE MAR,ALMERIA,3,"26,0","0,0","21,0","31,0","4,2","15,8"
46326,2022-07-12,HUÉRCAL-OVERA,ALMERIA,300,"27,2","0,0","18,9","35,6",,
46348,2022-07-12,ADRA,ALMERIA,8,"28,0","0,2","24,5","31,4","1,4","7,5"
46352,2022-07-12,SANTA ELENA,JAEN,770,"31,8","0,0","22,4","41,1",,
46354,2022-07-12,ARROYO DEL OJANCO,JAEN,580,"30,4","0,0","22,0","38,7",,
46362,2022-07-12,GRANADA BASE AÉREA,GRANADA,687,"27,1","0,0","17,3","36,9","5,0","12,2"
46365,2022-07-12,"MOGUER, EL ARENOSILLO",HUELVA,41,"28,6","0,0","21,7","35,4","2,5","6,7"
46371,2022-07-12,VEJER DE LA FRONTERA,CADIZ,186,"27,2","0,0","22,9","31,4","4,7","16,7"
46375,2022-07-12,DOÑA MENCÍA,CORDOBA,650,"32,8","0,0","24,5","41,1","2,8","10,6"
46380,2022-07-12,CÓRDOBA AEROPUERTO,CORDOBA,90,"31,2","0,0","18,7","43,6","3,6","9,7"
46382,2022-07-12,ÉCIJA,SEVILLA,130,"31,4","0,0","22,4","40,5","3,9","10,8"
46385,2022-07-12,ESTEPONA,MALAGA,19,"26,4","0,0","23,4","29,3","4,2","10,8"
46391,2022-07-12,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"29,8","0,0","20,2","39,5","2,8","11,4"
46395,2022-07-12,MORÓN DE LA FRONTERA,SEVILLA,87,"33,0","0,0","22,8","43,2","2,2","7,2"
46396,2022-07-12,BAZA,GRANADA,785,"26,0","0,0","14,2","37,8","3,6","10,3"
46397,2022-07-12,SAN FERNANDO,CADIZ,28,"30,8","0,0","26,9","34,8","7,8","19,2"
46413,2022-07-12,HINOJOSA DEL DUQUE,CORDOBA,551,"30,2","0,0","19,6","40,8","3,6","10,8"
46419,2022-07-12,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"31,4","0,0","23,9","38,9","2,8","10,0"
46426,2022-07-12,CAZALLA DE LA SIERRA,SEVILLA,550,"30,2","0,0","22,1","38,4","2,2","10,0"
46430,2022-07-12,JAÉN,JAEN,580,"33,6","0,0","27,8","39,4","4,7","13,3"
46442,2022-07-12,SEVILLA AEROPUERTO,SEVILLA,34,"34,2","0,0","26,0","42,5","5,8","12,8"
46443,2022-07-12,TORROX,MALAGA,3,"27,0","0,0","22,9","31,1","1,1","4,7"
46446,2022-07-12,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"25,8","0,0","21,7","29,9","3,1","8,6"
46447,2022-07-12,GRANADA AEROPUERTO,GRANADA,560,"28,6","0,0","16,1","41,0","3,6","10,3"
46450,2022-07-12,FUENGIROLA,MALAGA,8,"27,3","0,0","23,6","31,0","1,1","5,8"
46474,2022-07-12,ABLA,ALMERIA,869,"25,6","0,0","17,0","34,1","2,2","8,9"
46477,2022-07-12,ALAJAR,HUELVA,572,"32,2","0,0","24,9","39,5","3,3","11,7"
46483,2022-07-12,LOJA,GRANADA,760,"31,3","0,0","21,5","41,1","1,9","8,6"
46484,2022-07-12,MÁLAGA AEROPUERTO,MALAGA,7,"25,6","0,0","20,6","30,5","3,3","9,2"
46499,2022-07-12,GRAZALEMA,CADIZ,913,"29,8",,"26,1","33,5","2,5","13,9"
46501,2022-07-12,VILLARRODRIGO,JAEN,862,"30,6","0,0","24,2","37,0","2,8","11,9"
46504,2022-07-12,ANDÚJAR,JAEN,202,"31,4","0,0","19,2","43,7","2,2","10,3"
46506,2022-07-12,CÁDIZ,CADIZ,2,"28,8","0,0","26,7","31,0","11,9","22,8"
46517,2022-07-12,ALMERÍA AEROPUERTO,ALMERIA,21,"30,3","0,0","22,9","37,7","6,7","15,0"
46521,2022-07-12,"HUELVA, RONDA ESTE",HUELVA,18,"29,8","0,0","22,7","36,8","3,3","8,1"
46524,2022-07-12,"ROTA, BASE NAVAL",CADIZ,21,"31,4","0,0","27,3","35,5","10,6","18,6"
46526,2022-07-12,AYAMONTE,HUELVA,3,"27,5","0,0","20,2","34,8","1,7","6,1"
46535,2022-07-12,TARIFA,CADIZ,32,"24,6","0,0","22,1","27,1",,
46542,2022-07-12,LA RODA DE ANDALUCÍA,SEVILLA,410,"29,8","0,0","23,5","36,2","5,8","15,8"
46546,2022-07-13,ANTEQUERA,MALAGA,408,"29,8","0,0","24,9","34,6","5,0","16,1"
46558,2022-07-13,ROQUETAS DE MAR,ALMERIA,3,"24,5","0,0","20,3","28,7","1,4","4,7"
46564,2022-07-13,HUÉRCAL-OVERA,ALMERIA,300,"27,5","0,0","19,8","35,2",,
46586,2022-07-13,ADRA,ALMERIA,8,"27,8","0,0","24,3","31,2","1,1","5,0"
46590,2022-07-13,SANTA ELENA,JAEN,770,"33,0","0,0","24,2","41,7",,
46592,2022-07-13,ARROYO DEL OJANCO,JAEN,580,"32,0","0,0","22,7","41,4",,
46600,2022-07-13,GRANADA BASE AÉREA,GRANADA,687,"28,6","0,0","19,0","38,1","5,8","14,4"
46603,2022-07-13,"MOGUER, EL ARENOSILLO",HUELVA,41,"29,6","0,0","22,8","36,4","2,2","7,5"
46609,2022-07-13,VEJER DE LA FRONTERA,CADIZ,186,"27,8","0,0","23,3","32,4","5,3","17,2"
46613,2022-07-13,DOÑA MENCÍA,CORDOBA,650,"32,4","0,0","24,3","40,6","2,5","10,0"
46618,2022-07-13,CÓRDOBA AEROPUERTO,CORDOBA,90,"32,0","0,0","20,4","43,6","2,5","9,2"
46620,2022-07-13,ÉCIJA,SEVILLA,130,"32,1","0,0","22,9","41,3","3,9","9,2"
46623,2022-07-13,ESTEPONA,MALAGA,19,"25,3","0,0","22,0","28,6","3,6","8,1"
46629,2022-07-13,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"32,8","0,0","23,6","42,1","4,4","11,4"
46633,2022-07-13,MORÓN DE LA FRONTERA,SEVILLA,87,"33,4","0,0","21,5","45,2","2,5","8,6"
46634,2022-07-13,BAZA,GRANADA,785,"26,4","0,0","14,8","38,0","3,3","11,4"
46635,2022-07-13,SAN FERNANDO,CADIZ,28,"32,4","0,0","27,0","37,8","6,1","18,9"
46651,2022-07-13,HINOJOSA DEL DUQUE,CORDOBA,551,"31,6","0,0","20,5","42,7","1,7","7,8"
46658,2022-07-13,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"31,6","0,0","22,6","40,6","2,2","10,0"
46665,2022-07-13,CAZALLA DE LA SIERRA,SEVILLA,550,"30,0","0,0","20,0","39,9","2,5","10,3"
46669,2022-07-13,JAÉN,JAEN,580,"34,0","0,0","26,3","41,6","2,2","9,2"
46681,2022-07-13,SEVILLA AEROPUERTO,SEVILLA,34,"34,9","0,0","25,0","44,8","4,4","10,3"
46682,2022-07-13,TORROX,MALAGA,3,"25,6","0,0","22,3","29,0","1,7","3,6"
46685,2022-07-13,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"26,3","0,0","22,0","30,6","2,8","6,9"
46686,2022-07-13,GRANADA AEROPUERTO,GRANADA,560,"29,7","0,0","18,1","41,3","2,2","12,8"
46689,2022-07-13,FUENGIROLA,MALAGA,8,"27,2","0,0","24,0","30,5","1,4","5,3"
46713,2022-07-13,ABLA,ALMERIA,869,"26,8","0,0","19,6","34,0","2,2","8,9"
46716,2022-07-13,ALAJAR,HUELVA,572,"32,4","0,0","23,4","41,5","4,2","11,1"
46723,2022-07-13,LOJA,GRANADA,760,"31,4","0,0","21,4","41,3","1,9","10,0"
46724,2022-07-13,MÁLAGA AEROPUERTO,MALAGA,7,"26,2","0,0","21,9","30,6","3,6","8,3"
46739,2022-07-13,GRAZALEMA,CADIZ,913,"31,0","0,0","27,0","35,1","3,1","11,4"
46741,2022-07-13,VILLARRODRIGO,JAEN,862,"31,6","0,0","23,4","39,8","2,8","11,1"
46744,2022-07-13,ANDÚJAR,JAEN,202,"32,0","0,0","20,0","43,9","1,1","9,7"
46746,2022-07-13,CÁDIZ,CADIZ,2,"29,8","0,0","26,6","32,9","12,8","20,6"
46757,2022-07-13,ALMERÍA AEROPUERTO,ALMERIA,21,"26,0","0,0","22,9","29,1","1,9","6,1"
46761,2022-07-13,"HUELVA, RONDA ESTE",HUELVA,18,"31,9","0,0","22,3","41,5","3,3","9,2"
46764,2022-07-13,"ROTA, BASE NAVAL",CADIZ,21,"33,4","0,0","28,2","38,5","10,3","20,6"
46766,2022-07-13,AYAMONTE,HUELVA,3,"28,4","0,0","20,7","36,1","1,9","6,4"
46775,2022-07-13,TARIFA,CADIZ,32,"24,0","0,0","21,5","26,6",,
46782,2022-07-13,LA RODA DE ANDALUCÍA,SEVILLA,410,"31,2","0,0","24,6","37,9","6,1","14,7"
46786,2022-07-14,ANTEQUERA,MALAGA,408,"30,2","0,0","25,2","35,3","2,2","13,1"
46798,2022-07-14,ROQUETAS DE MAR,ALMERIA,3,"25,6","0,0","19,5","31,7","1,9","6,4"
46804,2022-07-14,HUÉRCAL-OVERA,ALMERIA,300,"27,0","0,0","19,5","34,6",,
46826,2022-07-14,ADRA,ALMERIA,8,"28,4",,"24,5","32,4","1,1","3,9"
46830,2022-07-14,SANTA ELENA,JAEN,770,"34,2","0,0","25,7","42,7",,
46832,2022-07-14,ARROYO DEL OJANCO,JAEN,580,"31,8","0,0","21,8","41,7",,
46840,2022-07-14,GRANADA BASE AÉREA,GRANADA,687,"28,6","0,0","18,7","38,5","4,7","13,3"
46843,2022-07-14,"MOGUER, EL ARENOSILLO",HUELVA,41,"27,4","0,0","20,3","34,5","1,4","5,8"
46849,2022-07-14,VEJER DE LA FRONTERA,CADIZ,186,"28,3","0,0","23,7","32,9","5,6","16,9"
46853,2022-07-14,DOÑA MENCÍA,CORDOBA,650,"33,3","0,0","25,9","40,7","2,5","10,3"
46858,2022-07-14,CÓRDOBA AEROPUERTO,CORDOBA,90,"32,0","0,0","20,4","43,5","3,1","10,8"
46860,2022-07-14,ÉCIJA,SEVILLA,130,"32,7","0,0","23,1","42,3","3,1","9,2"
46863,2022-07-14,ESTEPONA,MALAGA,19,"27,0","0,0","23,8","30,1","3,9","8,3"
46869,2022-07-14,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"32,2","0,0","22,7","41,7","4,7","13,3"
46873,2022-07-14,MORÓN DE LA FRONTERA,SEVILLA,87,"33,8","0,0","22,9","44,7","1,9","9,2"
46874,2022-07-14,BAZA,GRANADA,785,"26,7",,"14,1","39,3","3,1","11,1"
46875,2022-07-14,SAN FERNANDO,CADIZ,28,"33,0","0,0","26,3","39,6","6,1","13,9"
46891,2022-07-14,HINOJOSA DEL DUQUE,CORDOBA,551,"32,4","0,0","22,5","42,4","1,4","7,5"
46898,2022-07-14,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"32,0","0,0","22,9","41,2","1,7","9,2"
46905,2022-07-14,CAZALLA DE LA SIERRA,SEVILLA,550,"30,7","0,0","21,3","40,1","1,9","8,1"
46909,2022-07-14,JAÉN,JAEN,580,"34,4","0,0","27,3","41,5","1,9","9,2"
46921,2022-07-14,SEVILLA AEROPUERTO,SEVILLA,34,"33,6","0,0","23,0","44,3","2,2","8,3"
46922,2022-07-14,TORROX,MALAGA,3,"25,8","0,2","22,3","29,2","1,7","5,6"
46925,2022-07-14,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"27,1","0,0","22,1","32,1","3,1","7,5"
46926,2022-07-14,GRANADA AEROPUERTO,GRANADA,560,"29,5","0,0","17,6","41,4","3,1","13,3"
46929,2022-07-14,FUENGIROLA,MALAGA,8,"27,6","0,0","23,7","31,6","1,4","5,6"
46953,2022-07-14,ABLA,ALMERIA,869,"27,2","0,0","20,2","34,3","2,2","9,2"
46956,2022-07-14,ALAJAR,HUELVA,572,"33,8","0,0","25,6","41,9","2,5","9,4"
46963,2022-07-14,LOJA,GRANADA,760,"32,0","0,0","22,4","41,6","1,7","8,6"
46964,2022-07-14,MÁLAGA AEROPUERTO,MALAGA,7,"26,6","0,0","21,1","32,1","3,6","10,8"
46979,2022-07-14,GRAZALEMA,CADIZ,913,"30,8","0,0","27,1","34,4","1,9","11,1"
46981,2022-07-14,VILLARRODRIGO,JAEN,862,"32,6","0,0","23,6","41,6","2,8","8,9"
46984,2022-07-14,ANDÚJAR,JAEN,202,"32,4","0,0","20,5","44,3","1,9","9,7"
46986,2022-07-14,CÁDIZ,CADIZ,2,"29,6","0,0","26,0","33,3","9,4","15,3"
46997,2022-07-14,ALMERÍA AEROPUERTO,ALMERIA,21,"28,2","0,0","24,0","32,5","2,8","8,3"
47001,2022-07-14,"HUELVA, RONDA ESTE",HUELVA,18,"31,0","0,0","22,0","39,9","3,6","10,3"
47004,2022-07-14,"ROTA, BASE NAVAL",CADIZ,21,"33,1","0,0","26,7","39,5","9,2","16,4"
47006,2022-07-14,AYAMONTE,HUELVA,3,"29,8","0,0","22,3","37,3","1,4","6,4"
47015,2022-07-14,TARIFA,CADIZ,32,"24,2","0,0","21,1","27,4",,
47022,2022-07-14,LA RODA DE ANDALUCÍA,SEVILLA,410,"30,6","0,0","22,6","38,7","4,7","13,3"
47026,2022-07-15,ANTEQUERA,MALAGA,408,"29,2","0,0","24,4","33,9","3,3","16,7"
47038,2022-07-15,ROQUETAS DE MAR,ALMERIA,3,"27,9","0,0","22,0","33,8","3,9","10,0"
47044,2022-07-15,HUÉRCAL-OVERA,ALMERIA,300,"27,6","0,0","20,3","35,0",,
47069,2022-07-15,SANTA ELENA,JAEN,770,"33,8","0,0","24,9","42,7",,
47071,2022-07-15,ARROYO DEL OJANCO,JAEN,580,"31,8","0,0","23,3","40,2",,
47080,2022-07-15,GRANADA BASE AÉREA,GRANADA,687,"28,4","0,0","19,6","37,1","4,7","11,1"
47083,2022-07-15,"MOGUER, EL ARENOSILLO",HUELVA,41,"25,4","0,0","20,2","30,7","2,8","5,8"
47089,2022-07-15,VEJER DE LA FRONTERA,CADIZ,186,"28,2","0,0","23,6","32,9","4,2","15,0"
47093,2022-07-15,DOÑA MENCÍA,CORDOBA,650,"32,5","0,0","25,2","39,8","2,8","11,9"
47098,2022-07-15,CÓRDOBA AEROPUERTO,CORDOBA,90,"32,4","0,0","22,0","42,7","3,1","8,3"
47100,2022-07-15,ÉCIJA,SEVILLA,130,"31,7","0,0","23,2","40,2","3,9","10,8"
47103,2022-07-15,ESTEPONA,MALAGA,19,"27,8","0,0","24,0","31,7","3,9","7,8"
47109,2022-07-15,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"30,3","0,0","21,8","38,8","4,2","15,0"
47113,2022-07-15,MORÓN DE LA FRONTERA,SEVILLA,87,"33,6","0,0","23,3","43,8","1,7","7,8"
47114,2022-07-15,SAN FERNANDO,CADIZ,28,"32,5","0,0","27,2","37,8","6,1","17,5"
47130,2022-07-15,HINOJOSA DEL DUQUE,CORDOBA,551,"32,6","0,0","23,5","41,8","1,9","7,8"
47137,2022-07-15,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"31,3","0,0","23,0","39,6","1,9","7,8"
47144,2022-07-15,CAZALLA DE LA SIERRA,SEVILLA,550,"30,0","0,0","20,8","39,3","2,5","8,9"
47148,2022-07-15,JAÉN,JAEN,580,"33,9","0,0","27,1","40,7","2,2","11,1"
47160,2022-07-15,SEVILLA AEROPUERTO,SEVILLA,34,"33,0","0,0","23,9","42,0","4,4","9,2"
47161,2022-07-15,TORROX,MALAGA,3,"28,5","0,0","23,7","33,3","1,1","4,2"
47164,2022-07-15,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"27,8","0,0","22,7","32,9","2,8","7,8"
47165,2022-07-15,GRANADA AEROPUERTO,GRANADA,560,"29,2","0,0","18,8","39,7","2,5","10,8"
47168,2022-07-15,FUENGIROLA,MALAGA,8,"28,4","0,0","24,4","32,4","1,4","5,8"
47192,2022-07-15,ABLA,ALMERIA,869,"26,5","0,0","19,7","33,3","2,2","9,2"
47195,2022-07-15,ALAJAR,HUELVA,572,"31,9","0,0","24,0","39,8","3,6","11,9"
47202,2022-07-15,LOJA,GRANADA,760,"31,2","0,0","23,3","39,1","2,2","10,6"
47203,2022-07-15,MÁLAGA AEROPUERTO,MALAGA,7,"28,0","0,0","22,7","33,4","3,6","8,3"
47218,2022-07-15,GRAZALEMA,CADIZ,913,"30,2",,"27,4","33,1","2,2","14,7"
47220,2022-07-15,VILLARRODRIGO,JAEN,862,"30,9","0,0","24,4","37,4","3,6","12,2"
47223,2022-07-15,ANDÚJAR,JAEN,202,"31,8","0,0","20,3","43,2","1,9","10,8"
47225,2022-07-15,CÁDIZ,CADIZ,2,"29,8","0,0","26,7","32,8","10,6","16,7"
47236,2022-07-15,ALMERÍA AEROPUERTO,ALMERIA,21,"32,3","0,0","26,2","38,4","6,9","14,4"
47240,2022-07-15,"HUELVA, RONDA ESTE",HUELVA,18,"28,8","0,0","22,0","35,6","3,6","9,4"
47243,2022-07-15,"ROTA, BASE NAVAL",CADIZ,21,"32,8","0,0","27,5","38,1","9,2","16,9"
47245,2022-07-15,AYAMONTE,HUELVA,3,"27,6","0,0","21,9","33,4","1,7","5,8"
47254,2022-07-15,TARIFA,CADIZ,32,"24,3","0,0","21,4","27,2",,
47261,2022-07-15,LA RODA DE ANDALUCÍA,SEVILLA,410,"30,4","0,0","23,5","37,2","5,6","13,3"
47265,2022-07-16,ANTEQUERA,MALAGA,408,"29,7","0,0","25,3","34,1","4,7","11,9"
47277,2022-07-16,ROQUETAS DE MAR,ALMERIA,3,"25,4","0,0","19,6","31,2","1,4","5,6"
47283,2022-07-16,HUÉRCAL-OVERA,ALMERIA,300,"27,0","0,0","19,8","34,3",,
47305,2022-07-16,ADRA,ALMERIA,8,"29,3",,"25,0","33,6","0,8","5,0"
47309,2022-07-16,SANTA ELENA,JAEN,770,"33,0","0,0","24,3","41,8",,
47311,2022-07-16,ARROYO DEL OJANCO,JAEN,580,"31,0","0,0","21,8","40,2",,
47319,2022-07-16,GRANADA BASE AÉREA,GRANADA,687,"27,4","0,0","17,1","37,6","3,6","12,2"
47322,2022-07-16,"MOGUER, EL ARENOSILLO",HUELVA,41,"27,0","0,0","20,0","33,9","2,2","6,9"
47328,2022-07-16,VEJER DE LA FRONTERA,CADIZ,186,"29,1","0,0","23,8","34,4","4,7","13,9"
47332,2022-07-16,DOÑA MENCÍA,CORDOBA,650,"32,2","0,0","24,4","40,1","3,1","10,6"
47337,2022-07-16,CÓRDOBA AEROPUERTO,CORDOBA,90,"32,0","0,0","20,6","43,3","2,5","9,7"
47339,2022-07-16,ÉCIJA,SEVILLA,130,"31,4","0,0","21,6","41,2","3,3","9,2"
47342,2022-07-16,ESTEPONA,MALAGA,19,"28,7","0,0","25,7","31,7","3,3","6,7"
47348,2022-07-16,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"28,5","0,0","17,6","39,4","3,3","9,7"
47352,2022-07-16,MORÓN DE LA FRONTERA,SEVILLA,87,"32,2","0,0","21,1","43,3","2,2","8,1"
